time, Quad.GPS.X
0.105000,0.929729
0.205000,-0.850943
0.305000,-0.294885
0.404998,0.645242
0.504997,-0.905385
0.604996,-0.284876
0.704994,0.274991
0.804993,0.895015
0.904992,-0.066778
1.004991,-0.078368
1.104996,0.693934
1.205000,-0.048385
1.305005,0.607244
1.405010,-0.699733
1.505014,0.151046
1.605019,0.017967
1.705024,0.292599
1.805028,-0.729715
1.905033,-0.011443
2.005037,0.544440
2.105030,-0.793771
2.205023,-0.124358
2.305015,1.235412
2.405008,-0.554080
2.505001,-0.173456
2.604994,0.654433
2.704986,-0.093908
2.804979,0.320721
2.904972,-0.336543
3.004965,0.796288
3.104957,-0.426387
3.204950,-0.207292
3.304943,-1.281201
3.404936,0.301633
3.504928,-1.102355
3.604921,-0.814949
3.704914,-0.315412
3.804907,0.773343
3.904899,-0.124399
4.004892,-0.277007
4.104885,-0.704521
4.204878,-0.603724
4.304871,0.683921
4.404863,0.324544
4.504856,0.753677
4.604849,-0.654424
4.704842,-0.444931
4.804834,1.084955
4.904827,0.235442
5.004820,0.300630
5.104813,0.433952
5.204805,-0.478209
5.304798,-1.190884
5.404791,1.511651
5.504784,-0.935843
5.604776,0.524282
5.704769,-0.829712
5.804762,0.894794
5.904755,0.965056
6.004747,0.311843
6.104740,-0.537512
6.204733,0.567098
6.304726,0.376550
6.404718,1.460191
6.504711,-1.057274
6.604704,1.148468
6.704697,-0.201947
6.804689,-0.872269
6.904682,1.044405
7.004675,0.244408
7.104668,0.191837
7.204660,0.202311
7.304653,-0.435683
7.404646,-0.622663
7.504639,-0.066373
7.604631,0.665693
7.704624,-0.438002
7.804617,0.321050
7.904610,0.140789
8.004604,1.233487
8.104645,-0.167718
8.204685,-2.065375
8.304726,-0.608317
8.404766,-1.550658
8.504807,0.768153
8.604847,0.344082
8.704887,-0.403144
8.804928,-0.686413
8.904968,-0.477870
9.005009,-0.699475
9.105049,1.402898
9.205090,-0.957778
9.305130,-0.454609
9.405170,-0.553867
9.505211,-0.666505
9.605251,0.090992
9.705292,-0.034533
9.805332,-0.507209
9.905373,0.853465
10.005413,0.451958
10.105453,-0.079708
10.205494,-0.357701
10.305534,-0.541305
10.405575,0.404961
10.505615,-0.713089
10.605656,0.915109
10.705696,0.162521
10.805737,1.377157
10.905777,-0.326433
11.005817,0.727557
11.105858,0.895952
11.205898,-0.478197
11.305939,-1.224947
11.405979,-0.090845
11.506020,-0.133156
11.606060,-0.781759
11.706100,-0.534354
11.806141,-0.069419
11.906181,-0.603554
12.006222,-0.177130
12.106262,-0.720218
12.206303,2.100296
12.306343,0.203327
12.406384,-0.681603
12.506424,0.419107
12.606464,-1.091735
12.706505,0.514964
12.806545,-1.201444
12.906586,-0.538296
13.006626,-0.533092
13.106667,0.681560
13.206707,1.050137
13.306747,-0.302569
13.406788,-0.081891
13.506828,-0.564739
13.606869,0.848004
13.706909,0.111334
13.806950,-0.973076
13.906990,0.978616
14.007030,0.560436
14.107071,-1.380744
14.207111,-0.520004
14.307152,-1.286151
14.407192,0.313077
14.507233,0.148140
14.607273,0.054031
14.707314,-0.242889
14.807354,-0.465739
14.907394,-0.233733
15.007435,-0.262122
15.107475,0.412431
15.207516,-0.012436
15.307556,-0.446812
15.407597,-1.654258
15.507637,-0.413066
15.607677,0.132062
15.707718,-0.015105
15.807758,0.074211
15.907799,0.557678
16.007832,-1.017618
16.107777,0.928365
16.207722,-0.239913
16.307667,-0.473977
16.407612,-0.382595
16.507557,0.106318
16.607502,-0.149895
16.707447,-0.123702
16.807392,-1.006517
16.907337,-0.331278
17.007282,0.579219
17.107227,-0.166997
17.207172,-0.726038
17.307117,1.755077
17.407063,0.606498
17.507008,-1.530713
17.606953,0.153042
17.706898,-0.572485
17.806843,0.874871
17.906788,1.377970
18.006733,-0.387294
18.106678,0.127081
18.206623,1.177411
18.306568,-0.724826
18.406513,-0.601402
18.506458,-0.494568
18.606403,-0.575298
18.706348,0.073452
18.806293,0.109089
18.906239,1.446494
19.006184,-0.076468
19.106129,0.764291
19.206074,-0.075826
19.306019,0.092525
19.405964,0.631324
19.505909,-0.428532
19.605854,-0.870925
19.705799,0.197381
19.805744,0.300551
19.905689,0.377530
20.005634,0.738061
20.105579,0.803826
20.205524,0.230539
20.305470,-0.029421
20.405415,-0.336424
20.505360,0.397894
20.605305,0.519713
20.705250,-0.640190
20.805195,-0.257324
20.905140,0.754341
21.005085,-0.086943
21.105030,1.066002
21.204975,-1.630334
21.304920,1.175229
21.404865,-0.756554
21.504810,1.235649
