time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.068902,0.316295
0.929992,0.069257,0.316417
0.934992,0.069751,0.316600
0.939991,0.070056,0.316723
0.944991,0.070554,0.316908
0.949991,0.070877,0.317033
0.954991,0.071332,0.317220
0.959991,0.071576,0.317346
0.964991,0.072029,0.317535
0.969991,0.072321,0.317662
0.974991,0.072774,0.317854
0.979991,0.073097,0.317983
0.984991,0.073549,0.318176
0.989991,0.073734,0.318306
0.994991,0.074136,0.318502
0.999991,0.074629,0.318634
1.004991,0.084187,0.317503
1.009991,0.084569,0.317622
1.014991,0.085112,0.317801
1.019992,0.085393,0.317922
1.024992,0.085913,0.318103
1.029992,0.086246,0.318224
1.034992,0.086773,0.318408
1.039993,0.087114,0.318530
1.044993,0.087673,0.318716
1.049993,0.088039,0.318840
1.054993,0.088577,0.319027
1.059994,0.088952,0.319153
1.064994,0.089499,0.319342
1.069994,0.089813,0.319469
1.074994,0.090384,0.319660
1.079994,0.090806,0.319788
1.084995,0.091401,0.319981
1.089995,0.091722,0.320111
1.094995,0.092284,0.320306
1.099995,0.092602,0.320437
1.104996,0.094954,0.319302
1.109996,0.095059,0.319421
1.114996,0.095423,0.319600
1.119996,0.095705,0.319720
1.124997,0.096117,0.319901
1.129997,0.096388,0.320023
1.134997,0.096836,0.320206
1.139997,0.097143,0.320329
1.144997,0.097557,0.320513
1.149998,0.097830,0.320637
1.154998,0.098207,0.320824
1.159998,0.098412,0.320949
1.164998,0.098751,0.321138
1.169999,0.098949,0.321265
1.174999,0.099304,0.321455
1.179999,0.099508,0.321583
1.184999,0.099829,0.321776
1.190000,0.099853,0.321905
1.195000,0.100170,0.322099
1.200000,0.100359,0.322230
1.205000,0.098847,0.321092
1.210001,0.099346,0.321210
1.215001,0.099757,0.321390
1.220001,0.100033,0.321510
1.225001,0.100447,0.321691
1.230001,0.100777,0.321812
1.235002,0.101136,0.321995
1.240002,0.101340,0.322117
1.245002,0.101765,0.322302
1.250002,0.102057,0.322425
1.255003,0.102534,0.322612
1.260003,0.102901,0.322737
1.265003,0.103386,0.322925
1.270003,0.103582,0.323051
1.275004,0.104049,0.323241
1.280004,0.104284,0.323368
1.285004,0.104721,0.323560
1.290004,0.104944,0.323689
1.295004,0.105360,0.323883
1.300005,0.105579,0.324013
1.305005,0.092652,0.322873
1.310005,0.092548,0.322991
1.315005,0.092646,0.323170
1.320006,0.092761,0.323290
1.325006,0.092818,0.323471
1.330006,0.092901,0.323592
1.335006,0.092895,0.323774
1.340007,0.092908,0.323896
1.345007,0.092848,0.324080
1.350007,0.092812,0.324204
1.355007,0.092759,0.324390
1.360008,0.092770,0.324514
1.365008,0.092723,0.324702
1.370008,0.092750,0.324827
1.375008,0.092678,0.325017
1.380008,0.092670,0.325144
1.385009,0.092597,0.325335
1.390009,0.092831,0.325463
1.395009,0.092810,0.325656
1.400009,0.092934,0.325786
1.405010,0.079429,0.324645
1.410010,0.079291,0.324763
1.415010,0.079279,0.324942
1.420010,0.079366,0.325061
1.425011,0.079341,0.325242
1.430011,0.079195,0.325362
1.435011,0.079181,0.325544
1.440011,0.079155,0.325666
1.445011,0.079145,0.325850
1.450012,0.079129,0.325972
1.455012,0.079098,0.326158
1.460012,0.079074,0.326282
1.465012,0.079033,0.326469
1.470013,0.078870,0.326594
1.475013,0.078771,0.326783
1.480013,0.078611,0.326909
1.485013,0.078488,0.327100
1.490014,0.078479,0.327228
1.495014,0.078351,0.327420
1.500014,0.078323,0.327549
1.505014,0.085918,0.326408
1.510015,0.086021,0.326526
1.515015,0.086170,0.326704
1.520015,0.086380,0.326824
1.525015,0.086481,0.327003
1.530015,0.086487,0.327124
1.535016,0.086585,0.327305
1.540016,0.086653,0.327426
1.545016,0.086788,0.327609
1.550016,0.086878,0.327732
1.555017,0.087000,0.327917
1.560017,0.086949,0.328040
1.565017,0.086992,0.328227
1.570017,0.087122,0.328352
1.575018,0.087177,0.328540
1.580018,0.087082,0.328666
1.585018,0.087090,0.328855
1.590018,0.087016,0.328983
1.595019,0.087006,0.329174
1.600019,0.087175,0.329302
1.605019,0.132067,0.328163
1.610019,0.132401,0.328280
1.615019,0.132934,0.328458
1.620020,0.133292,0.328577
1.625020,0.133831,0.328756
1.630020,0.134203,0.328876
1.635020,0.134740,0.329057
1.640021,0.135081,0.329178
1.645021,0.135555,0.329360
1.650021,0.135858,0.329482
1.655021,0.136325,0.329666
1.660022,0.136545,0.329789
1.665022,0.136930,0.329975
1.670022,0.137163,0.330100
1.675022,0.137522,0.330287
1.680022,0.137847,0.330412
1.685023,0.138191,0.330601
1.690023,0.138328,0.330728
1.695023,0.138618,0.330919
1.700023,0.138800,0.331047
1.705024,0.118307,0.329908
1.710024,0.118536,0.330026
1.715024,0.118864,0.330202
1.720024,0.119108,0.330321
1.725025,0.119443,0.330500
1.730025,0.119709,0.330619
1.735025,0.120037,0.330799
1.740025,0.120255,0.330920
1.745026,0.120567,0.331102
1.750026,0.120753,0.331223
1.755026,0.121024,0.331407
1.760026,0.121192,0.331529
1.765026,0.121464,0.331714
1.770027,0.121672,0.331838
1.775027,0.121960,0.332025
1.780027,0.122156,0.332150
1.785027,0.122434,0.332338
1.790028,0.122724,0.332464
1.795028,0.123007,0.332654
1.800028,0.123099,0.332782
1.805028,0.129924,0.331645
1.810029,0.130021,0.331762
1.815029,0.130371,0.331938
1.820029,0.130557,0.332056
1.825029,0.130852,0.332234
1.830029,0.131012,0.332353
1.835030,0.131271,0.332533
1.840030,0.131446,0.332653
1.845030,0.131696,0.332834
1.850030,0.131847,0.332955
1.855031,0.132100,0.333138
1.860031,0.132323,0.333260
1.865031,0.132641,0.333445
1.870031,0.132802,0.333568
1.875032,0.133091,0.333754
1.880032,0.133136,0.333878
1.885032,0.133391,0.334066
1.890032,0.133413,0.334192
1.895033,0.133692,0.334381
1.900033,0.133793,0.334507
1.905033,0.117676,0.333373
1.910033,0.117385,0.333489
1.915033,0.117412,0.333665
1.920034,0.117442,0.333783
1.925034,0.117481,0.333960
1.930034,0.117484,0.334079
1.935034,0.117503,0.334258
1.940035,0.117515,0.334377
1.945035,0.117536,0.334558
1.950035,0.117570,0.334678
1.955035,0.117582,0.334860
1.960036,0.117536,0.334982
1.965036,0.117544,0.335166
1.970036,0.117503,0.335289
1.975036,0.117490,0.335474
1.980036,0.117245,0.335598
1.985037,0.117167,0.335785
1.990037,0.117423,0.335910
1.995037,0.117392,0.336098
2.000037,0.117060,0.336224
2.005037,0.119467,0.335092
2.010037,0.119522,0.335208
2.015036,0.119275,0.335383
2.020036,0.119056,0.335501
2.025036,0.118786,0.335677
2.030035,0.118606,0.335795
2.035035,0.118310,0.335974
2.040035,0.118110,0.336093
2.045034,0.117778,0.336272
2.050034,0.117560,0.336393
2.055033,0.117220,0.336574
2.060033,0.116948,0.336695
2.065033,0.116590,0.336878
2.070032,0.116473,0.337001
2.075032,0.116156,0.337185
2.080032,0.116025,0.337308
2.085031,0.115750,0.337494
2.090031,0.115429,0.337619
2.095031,0.115143,0.337807
2.100030,0.115046,0.337932
2.105030,0.127243,0.336803
2.110029,0.127433,0.336919
2.115029,0.127693,0.337093
2.120029,0.127968,0.337210
2.125028,0.128223,0.337386
2.130028,0.128400,0.337504
2.135028,0.128601,0.337681
2.140027,0.128717,0.337800
2.145027,0.128988,0.337979
2.150027,0.129178,0.338098
2.155026,0.129469,0.338279
2.160026,0.129657,0.338400
2.165025,0.129948,0.338582
2.170025,0.130291,0.338704
2.175025,0.130653,0.338887
2.180024,0.130674,0.339010
2.185024,0.130962,0.339196
2.190024,0.130974,0.339320
2.195023,0.131211,0.339506
2.200023,0.131597,0.339632
2.205023,0.130808,0.338505
2.210022,0.130878,0.338621
2.215022,0.131127,0.338794
2.220021,0.131329,0.338911
2.225021,0.131562,0.339086
2.230021,0.131647,0.339203
2.235020,0.131951,0.339380
2.240020,0.132170,0.339498
2.245020,0.132444,0.339676
2.250019,0.132651,0.339796
2.255019,0.132989,0.339975
2.260019,0.133351,0.340096
2.265018,0.133792,0.340277
2.270018,0.134073,0.340399
2.275017,0.134509,0.340581
2.280017,0.134655,0.340704
2.285017,0.135072,0.340888
2.290016,0.135274,0.341012
2.295016,0.135695,0.341198
2.300016,0.136126,0.341322
2.305015,0.135838,0.340200
2.310015,0.136282,0.340314
2.315015,0.136559,0.340487
2.320014,0.136835,0.340603
2.325014,0.137061,0.340778
2.330014,0.137202,0.340894
2.335013,0.137428,0.341070
2.340013,0.137594,0.341188
2.345012,0.137804,0.341366
2.350012,0.137898,0.341484
2.355012,0.138042,0.341663
2.360011,0.138165,0.341783
2.365011,0.138329,0.341964
2.370011,0.138344,0.342085
2.375010,0.138465,0.342267
2.380010,0.138669,0.342389
2.385010,0.138828,0.342572
2.390009,0.139484,0.342695
2.395009,0.139765,0.342881
2.400008,0.140056,0.343005
2.405008,0.160688,0.341885
2.410008,0.160896,0.342000
2.415007,0.161360,0.342172
2.420007,0.161743,0.342287
2.425007,0.162222,0.342461
2.430006,0.162429,0.342577
2.435006,0.162903,0.342753
2.440006,0.163214,0.342870
2.445005,0.163705,0.343047
2.450005,0.163979,0.343165
2.455004,0.164435,0.343343
2.460004,0.164793,0.343463
2.465004,0.165278,0.343642
2.470003,0.165676,0.343763
2.475003,0.166246,0.343944
2.480003,0.166665,0.344065
2.485002,0.167250,0.344248
2.490002,0.167493,0.344371
2.495002,0.168068,0.344555
2.500001,0.168494,0.344679
2.505001,0.162139,0.343563
2.510000,0.162595,0.343677
2.515000,0.163011,0.343848
2.520000,0.163203,0.343963
2.524999,0.163612,0.344136
2.529999,0.163987,0.344252
2.534999,0.164384,0.344427
2.539998,0.164636,0.344543
2.544998,0.165075,0.344719
2.549998,0.165365,0.344837
2.554997,0.165826,0.345015
2.559997,0.166135,0.345134
2.564996,0.166609,0.345313
2.569996,0.166822,0.345432
2.574996,0.167246,0.345613
2.579995,0.167780,0.345734
2.584995,0.168251,0.345916
2.589995,0.168544,0.346038
2.594994,0.169025,0.346222
2.599994,0.169302,0.346345
2.604994,0.168608,0.345232
2.609993,0.168930,0.345346
2.614993,0.169498,0.345517
2.619992,0.169873,0.345631
2.624992,0.170375,0.345803
2.629992,0.170628,0.345919
2.634991,0.171136,0.346093
2.639991,0.171453,0.346209
2.644991,0.171966,0.346384
2.649990,0.172233,0.346501
2.654990,0.172653,0.346678
2.659990,0.173090,0.346797
2.664989,0.173567,0.346975
2.669989,0.173733,0.347094
2.674989,0.174166,0.347274
2.679988,0.174436,0.347394
2.684988,0.174841,0.347576
2.689987,0.175069,0.347697
2.694987,0.175471,0.347880
2.699987,0.175453,0.348002
2.704986,0.153946,0.346894
2.709986,0.154287,0.347007
2.714986,0.154692,0.347177
2.719985,0.155003,0.347291
2.724985,0.155420,0.347463
2.729985,0.155637,0.347578
2.734984,0.156039,0.347751
2.739984,0.156309,0.347866
2.744983,0.156727,0.348041
2.749983,0.157000,0.348158
2.754983,0.157406,0.348334
2.759982,0.157637,0.348452
2.764982,0.157999,0.348629
2.769982,0.158126,0.348748
2.774981,0.158465,0.348927
2.779981,0.158767,0.349047
2.784981,0.159091,0.349227
2.789980,0.159712,0.349348
2.794980,0.160105,0.349530
2.799979,0.160234,0.349652
2.804979,0.195911,0.348548
2.809979,0.196364,0.348660
2.814978,0.196811,0.348830
2.819978,0.196990,0.348943
2.824978,0.197501,0.349114
2.829977,0.197892,0.349228
2.834977,0.198415,0.349401
2.839977,0.198781,0.349516
2.844976,0.199279,0.349690
2.849976,0.199619,0.349806
2.854975,0.200152,0.349982
2.859975,0.200547,0.350099
2.864975,0.201137,0.350276
2.869974,0.201551,0.350394
2.874974,0.202119,0.350572
2.879974,0.202507,0.350692
2.884973,0.203080,0.350871
2.889973,0.203568,0.350992
2.894973,0.204164,0.351173
2.899972,0.204586,0.351294
2.904972,0.160580,0.350194
2.909971,0.160750,0.350306
2.914971,0.160856,0.350475
2.919971,0.160875,0.350588
2.924970,0.160970,0.350758
2.929970,0.160978,0.350872
2.934970,0.161098,0.351043
2.939969,0.161174,0.351158
2.944969,0.161339,0.351331
2.949969,0.161485,0.351447
2.954968,0.161677,0.351622
2.959968,0.161788,0.351738
2.964967,0.161988,0.351914
2.969967,0.162127,0.352032
2.974967,0.162325,0.352210
2.979966,0.162458,0.352329
2.984966,0.162635,0.352508
2.989966,0.162727,0.352627
2.994965,0.162953,0.352808
2.999965,0.163211,0.352929
3.004965,0.134033,0.351833
3.009964,0.133931,0.351944
3.014964,0.133808,0.352112
3.019964,0.133569,0.352224
3.024963,0.133521,0.352394
3.029963,0.133593,0.352507
3.034962,0.133513,0.352678
3.039962,0.133449,0.352793
3.044962,0.133405,0.352965
3.049961,0.133387,0.353080
3.054961,0.133375,0.353254
3.059961,0.133327,0.353370
3.064960,0.133317,0.353545
3.069960,0.133379,0.353663
3.074960,0.133412,0.353840
3.079959,0.133481,0.353958
3.084959,0.133545,0.354136
3.089958,0.133710,0.354256
3.094958,0.133781,0.354435
3.099958,0.133798,0.354556
3.104957,0.102116,0.353464
3.109957,0.102162,0.353575
3.114957,0.102044,0.353742
3.119956,0.102042,0.353854
3.124956,0.101883,0.354023
3.129956,0.101783,0.354136
3.134955,0.101634,0.354306
3.139955,0.101529,0.354420
3.144954,0.101385,0.354591
