time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,0.000001,-0.000008,0.000760
0.010000,-0.000000,0.000015,-0.000086,0.001911
0.015000,-0.000001,0.000024,-0.000295,0.002570
0.020000,-0.000004,-0.000031,-0.000675,-0.007923
0.025000,-0.000009,-0.000077,-0.001252,-0.007804
0.030000,-0.000017,-0.000109,-0.002026,-0.007874
0.035000,-0.000030,-0.000156,-0.002974,-0.008087
0.040000,-0.000048,-0.000164,-0.004023,-0.007297
0.045000,-0.000072,-0.000207,-0.005121,-0.008700
0.050000,-0.000100,-0.000216,-0.006202,-0.005974
0.055000,-0.000135,-0.000259,-0.007198,-0.010525
0.060000,-0.000173,-0.000507,-0.008074,-0.019690
0.065000,-0.000216,-0.000623,-0.008805,-0.023028
0.070000,-0.000262,-0.000625,-0.009366,-0.019947
0.075000,-0.000310,-0.000739,-0.009747,-0.018487
0.080000,-0.000359,-0.000448,-0.009949,-0.006272
0.085000,-0.000409,-0.000486,-0.009987,-0.007101
0.090000,-0.000459,-0.000146,-0.009901,0.002752
0.095000,-0.000508,-0.000132,-0.009760,0.000108
0.100000,-0.000556,0.000056,-0.009644,0.004011
0.105000,-0.000604,0.002954,-0.009625,0.104280
0.110000,-0.000653,0.003382,-0.009767,0.100730
0.115000,-0.000703,0.003977,-0.010143,0.098552
0.120000,-0.000755,0.004369,-0.010810,0.096835
0.125000,-0.000812,0.004953,-0.011810,0.097918
0.130000,-0.000875,0.005359,-0.013161,0.098100
0.135000,-0.000946,0.005948,-0.014870,0.097407
0.140000,-0.001026,0.006340,-0.016936,0.094554
0.145000,-0.001118,0.006900,-0.019336,0.090076
0.150000,-0.001223,0.007169,-0.022011,0.084850
0.155000,-0.001342,0.007668,-0.024983,0.078066
0.160000,-0.001476,0.007658,-0.028239,0.065164
0.165000,-0.001628,0.008044,-0.031734,0.060659
0.170000,-0.001797,0.008264,-0.035439,0.053763
0.175000,-0.001986,0.008572,-0.039312,0.047858
0.180000,-0.002195,0.008856,-0.043375,0.046938
0.185000,-0.002424,0.009133,-0.047543,0.042742
0.190000,-0.002674,0.009559,-0.051715,0.041841
0.195000,-0.002946,0.009798,-0.055985,0.036065
0.200000,-0.003239,0.010062,-0.060355,0.035276
0.205000,-0.003554,-0.000663,-0.064685,-0.014175
0.210000,-0.003890,-0.000733,-0.068986,-0.019991
0.215000,-0.004248,-0.000865,-0.073201,-0.024402
0.220000,-0.004626,-0.000966,-0.077330,-0.026852
0.225000,-0.005024,-0.001141,-0.081222,-0.032635
0.230000,-0.005441,-0.001282,-0.084825,-0.039407
0.235000,-0.005876,-0.001520,-0.088156,-0.041217
0.240000,-0.006326,-0.001655,-0.091137,-0.042885
0.245000,-0.006789,-0.001912,-0.093836,-0.044293
0.250000,-0.007266,-0.002258,-0.096295,-0.054783
0.255000,-0.007754,-0.002598,-0.098511,-0.058830
0.260000,-0.008253,-0.003068,-0.100477,-0.068824
0.265000,-0.008760,-0.003489,-0.102136,-0.073959
0.270000,-0.009275,-0.003726,-0.103450,-0.072599
0.275000,-0.009795,-0.004171,-0.104408,-0.076880
0.280000,-0.010319,-0.004467,-0.104985,-0.080040
0.285000,-0.010845,-0.004955,-0.105181,-0.082723
0.290000,-0.011370,-0.005315,-0.104989,-0.086277
0.295000,-0.011894,-0.005835,-0.104412,-0.086061
0.300000,-0.012413,-0.006278,-0.103486,-0.086967
0.305000,-0.012927,-0.015802,-0.102260,-0.101404
0.310000,-0.013434,-0.016296,-0.100765,-0.098376
0.314999,-0.013933,-0.016878,-0.099043,-0.097614
0.319999,-0.014422,-0.017305,-0.097086,-0.094215
0.324999,-0.014901,-0.017869,-0.094894,-0.090945
0.329999,-0.015368,-0.018202,-0.092449,-0.095078
0.334999,-0.015823,-0.018761,-0.089729,-0.090171
0.339999,-0.016262,-0.019177,-0.086748,-0.100847
0.344999,-0.016686,-0.019777,-0.083464,-0.099045
0.349999,-0.017093,-0.020221,-0.079870,-0.100951
0.354999,-0.017481,-0.020821,-0.076056,-0.097424
0.359999,-0.017849,-0.021254,-0.071935,-0.098578
0.364999,-0.018196,-0.021842,-0.067551,-0.099806
0.369999,-0.018520,-0.022111,-0.062852,-0.095874
0.374999,-0.018819,-0.022675,-0.057779,-0.089989
0.379999,-0.019091,-0.023022,-0.052306,-0.085910
0.384999,-0.019336,-0.023525,-0.046529,-0.079050
0.389999,-0.019550,-0.023890,-0.040500,-0.076973
0.394998,-0.019734,-0.024350,-0.034305,-0.074939
0.399998,-0.019887,-0.024359,-0.028068,-0.062177
0.404998,-0.020008,-0.016042,-0.021426,0.019129
0.409998,-0.020094,-0.016015,-0.014452,0.024830
0.414998,-0.020145,-0.015858,-0.007512,0.030091
0.419998,-0.020163,-0.015806,-0.000731,0.037170
0.424998,-0.020146,-0.015572,0.005891,0.044068
0.429998,-0.020098,-0.015373,0.012184,0.047360
0.434998,-0.020019,-0.015085,0.018078,0.049843
0.439998,-0.019912,-0.014877,0.023519,0.049339
0.444998,-0.019779,-0.014564,0.028451,0.056167
0.449998,-0.019623,-0.014437,0.033008,0.047227
0.454998,-0.019446,-0.014139,0.037164,0.055533
0.459998,-0.019248,-0.013916,0.040903,0.059774
0.464998,-0.019034,-0.013546,0.044269,0.066016
0.469997,-0.018803,-0.012950,0.047336,0.083244
0.474997,-0.018558,-0.012453,0.050158,0.085805
0.479997,-0.018299,-0.011887,0.052684,0.097229
0.484997,-0.018029,-0.011308,0.054969,0.098339
0.489997,-0.017748,-0.011093,0.057017,0.096411
0.494997,-0.017457,-0.010523,0.058759,0.094994
