time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
1.024992,-0.006081,0.028408
1.029992,-0.011257,0.027724
1.034992,-0.010937,0.028408
1.039993,0.001309,0.027724
1.044993,-0.000048,0.028408
1.049993,0.005160,0.027724
1.054993,0.007218,0.028408
1.059994,0.019301,0.027724
1.064994,0.020943,0.028408
1.069994,0.019680,0.027724
1.074994,0.021219,0.028408
1.079994,0.025979,0.027724
1.084995,0.028735,0.028408
1.089995,0.021707,0.027724
1.094995,0.018484,0.028408
1.099995,0.024746,0.027724
1.104996,0.026191,0.028408
1.109996,0.021461,0.027724
1.114996,0.020632,0.028408
1.119996,0.019105,0.027724
1.124997,0.020784,0.028408
1.129997,0.023823,0.027724
1.134997,0.024143,0.028408
1.139997,0.034687,0.027724
1.144997,0.039170,0.028408
1.149998,0.044397,0.027724
1.154998,0.046674,0.028408
1.159998,0.043611,0.027724
1.164998,0.043460,0.028408
1.169999,0.027875,0.027724
1.174999,0.028470,0.028408
1.179999,0.024735,0.027724
1.184999,0.024429,0.028408
1.190000,0.025987,0.027724
1.195000,0.025823,0.028408
1.200000,0.012952,0.027724
1.205000,0.011466,0.028408
1.210001,0.001741,0.027724
1.215001,-0.000380,0.028408
1.220001,0.007535,0.027724
1.225001,0.008583,0.028408
1.230001,-0.001859,0.027724
1.235002,-0.002313,0.028408
1.240002,-0.013368,0.027724
1.245002,-0.014701,0.028408
1.250002,-0.025610,0.027724
1.255003,-0.025047,0.028408
1.260003,-0.012413,0.027724
1.265003,-0.011017,0.028408
1.270003,-0.003899,0.027724
1.275004,-0.003832,0.028408
1.280004,0.003065,0.027724
1.285004,0.000136,0.028408
1.290004,-0.010974,0.027724
1.295004,-0.009867,0.028408
1.300005,-0.015392,0.027724
1.305005,-0.016708,0.028408
1.310005,-0.016053,0.027724
1.315005,-0.017917,0.028408
1.320006,-0.018074,0.027724
1.325006,-0.020425,0.028408
1.330006,-0.010532,0.027724
1.335006,-0.009600,0.028408
1.340007,-0.012135,0.027724
1.345007,-0.014102,0.028408
1.350007,-0.006831,0.027724
1.355007,-0.004599,0.028408
1.360008,0.003418,0.027724
