time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
0.994991,-0.022724,0.050986
0.999991,-0.021791,0.050990
1.004991,-0.021163,0.050996
1.009991,-0.022964,0.051000
1.014991,-0.021745,0.051006
1.019992,-0.024981,0.051010
1.024992,-0.024943,0.051016
1.029992,-0.025435,0.051020
1.034992,-0.025115,0.051025
1.039993,-0.024166,0.051029
1.044993,-0.025523,0.051035
1.049993,-0.024713,0.051039
1.054993,-0.022655,0.051045
1.059994,-0.023066,0.051049
1.064994,-0.021424,0.051055
1.069994,-0.020841,0.051059
1.074994,-0.019301,0.051065
1.079994,-0.017794,0.051069
1.084995,-0.015038,0.051074
1.089995,-0.016210,0.051078
1.094995,-0.019432,0.051084
1.099995,-0.016777,0.051088
1.104996,-0.015332,0.051094
1.109996,-0.015615,0.051098
1.114996,-0.016444,0.051104
1.119996,-0.016343,0.051108
1.124997,-0.014665,0.051114
1.129997,-0.013765,0.051118
1.134997,-0.013445,0.051123
1.139997,-0.014260,0.051127
1.144997,-0.009777,0.051133
1.149998,-0.008717,0.051137
1.154998,-0.006440,0.051143
1.159998,-0.004337,0.051147
1.164998,-0.004489,0.051153
1.169999,-0.005412,0.051157
1.174999,-0.004816,0.051162
1.179999,-0.004143,0.051166
1.184999,-0.004449,0.051172
1.190000,-0.003625,0.051176
1.195000,-0.003789,0.051182
1.200000,-0.002750,0.051186
1.205000,-0.004237,0.051192
1.210001,-0.004130,0.051196
1.215001,-0.006251,0.051202
1.220001,-0.005317,0.051205
1.225001,-0.004269,0.051211
1.230001,-0.004643,0.051215
1.235002,-0.005097,0.051221
1.240002,-0.004646,0.051225
1.245002,-0.005979,0.051231
1.250002,-0.008255,0.051235
1.255003,-0.007693,0.051241
1.260003,-0.008284,0.051245
1.265003,-0.006888,0.051250
1.270003,-0.003376,0.051254
1.275004,-0.003309,0.051260
1.280004,-0.004697,0.051264
1.285004,-0.007626,0.051270
1.290004,-0.006938,0.051274
1.295004,-0.005830,0.051280
1.300005,-0.006602,0.051284
1.305005,-0.007919,0.051289
