time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.784993,nan,-0.011473,0.001089
0.789993,-0.042846,-0.013220,0.001103
0.794993,nan,-0.012350,0.001124
0.799993,-0.129387,-0.011922,0.001148
0.804993,nan,-0.009611,0.001168
0.809993,0.000501,-0.008090,0.001184
0.814993,nan,-0.009888,0.001195
0.819993,-0.167795,-0.012101,0.001203
0.824993,nan,-0.008315,0.001202
0.829993,-0.146115,-0.010069,0.001195
0.834993,nan,-0.013018,0.001184
0.839993,-0.042489,-0.012289,0.001171
0.844993,nan,-0.012717,0.001157
0.849993,-0.070232,-0.016423,0.001145
0.854993,nan,-0.016018,0.001132
0.859993,0.023464,-0.015800,0.001117
0.864992,nan,-0.017371,0.001099
0.869992,-0.038050,-0.017635,0.001084
0.874992,nan,-0.016986,0.001071
0.879992,-0.079228,-0.018219,0.001057
0.884992,nan,-0.019411,0.001042
0.889992,-0.075649,-0.018715,0.001020
0.894992,nan,-0.020279,0.000992
0.899992,-0.071454,-0.021266,0.000957
0.904992,nan,-0.019152,0.000918
0.909992,-0.003691,-0.021159,0.000873
0.914992,nan,-0.022148,0.000819
0.919992,0.146445,-0.022512,0.000758
0.924992,nan,-0.023485,0.000693
0.929992,0.222886,-0.025811,0.000621
0.934992,nan,-0.025612,0.000547
0.939991,-0.079576,-0.026837,0.000473
0.944991,nan,-0.028050,0.000404
0.949991,0.044566,-0.027325,0.000342
0.954991,nan,-0.024513,0.000291
0.959991,0.024596,-0.023786,0.000254
0.964991,nan,-0.024376,0.000229
0.969991,-0.015789,-0.024440,0.000213
0.974991,nan,-0.025990,0.000203
0.979991,0.021843,-0.024870,0.000200
0.984991,nan,-0.022733,0.000201
0.989991,0.006897,-0.022960,0.000203
0.994991,nan,-0.022518,0.000207
0.999991,-0.060268,-0.021581,0.000212
1.004991,nan,-0.020946,0.000218
1.009991,-0.051965,-0.022742,0.000223
1.014991,nan,-0.021518,0.000228
1.019992,0.090581,-0.024750,0.000232
1.024992,nan,-0.024707,0.000237
1.029992,-0.067277,-0.025195,0.000241
1.034992,nan,-0.024870,0.000246
1.039993,0.137236,-0.023916,0.000252
1.044993,nan,-0.025268,0.000255
1.049993,0.058236,-0.024458,0.000255
1.054993,nan,-0.022401,0.000254
1.059994,0.169603,-0.022815,0.000248
1.064994,nan,-0.021184,0.000238
1.069994,-0.002261,-0.020609,0.000229
1.074994,nan,-0.019080,0.000220
1.079994,0.065253,-0.017579,0.000212
1.084995,nan,-0.014834,0.000202
1.089995,-0.048431,-0.016015,0.000190
1.094995,nan,-0.019253,0.000177
1.099995,0.068222,-0.016610,0.000158
1.104996,nan,-0.015191,0.000136
1.109996,-0.031826,-0.015494,0.000110
1.114996,nan,-0.016357,0.000081
1.119996,-0.000380,-0.016280,0.000050
1.124997,nan,-0.014643,0.000014
1.129997,0.049510,-0.013772,-0.000022
1.134997,nan,-0.013496,-0.000058
1.139997,0.171036,-0.014340,-0.000094
1.144997,nan,-0.009899,-0.000129
1.149998,0.094300,-0.008867,-0.000163
1.154998,nan,-0.006632,-0.000198
1.159998,-0.018654,-0.004555,-0.000230
1.164998,nan,-0.004739,-0.000255
1.169999,-0.148484,-0.005680,-0.000275
1.174999,nan,-0.005101,-0.000287
1.179999,-0.028499,-0.004435,-0.000295
1.184999,nan,-0.004750,-0.000302
1.190000,0.034488,-0.003929,-0.000304
1.195000,nan,-0.004094,-0.000305
1.200000,-0.154404,-0.003055,-0.000304
1.205000,nan,-0.004540,-0.000303
1.210001,-0.116631,-0.004431,-0.000296
1.215001,nan,-0.006536,-0.000282
1.220001,0.091105,-0.005589,-0.000264
1.225001,nan,-0.004520,-0.000247
1.230001,-0.123019,-0.004880,-0.000230
1.235002,nan,-0.005314,-0.000214
1.240002,-0.151749,-0.004851,-0.000199
1.245002,nan,-0.006169,-0.000188
1.250002,-0.129473,-0.008438,-0.000180
1.255003,nan,-0.007868,-0.000174
1.260003,0.146262,-0.008457,-0.000173
1.265003,nan,-0.007066,-0.000179
1.270003,0.039217,-0.003562,-0.000191
1.275004,nan,-0.003512,-0.000206
1.280004,0.102348,-0.004914,-0.000224
1.285004,nan,-0.007865,-0.000243
1.290004,-0.152929,-0.007193,-0.000263
1.295004,nan,-0.006110,-0.000284
1.300005,-0.072775,-0.006900,-0.000307
1.305005,nan,-0.008244,-0.000330
1.310005,-0.041471,-0.005517,-0.000348
1.315005,nan,-0.007399,-0.000363
1.320006,-0.035985,-0.006109,-0.000380
1.325006,nan,-0.008481,-0.000398
1.330006,0.108271,-0.008526,-0.000410
1.335006,nan,-0.007604,-0.000418
1.340007,-0.037568,-0.008065,-0.000428
1.345007,nan,-0.010046,-0.000441
1.350007,0.043505,-0.007013,-0.000452
