time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,0.000001,-0.000006,0.000751
0.010000,-0.000000,0.000014,-0.000064,0.001881
0.015000,-0.000001,0.000024,-0.000224,0.002584
0.020000,-0.000003,-0.000030,-0.000533,-0.007748
0.025000,-0.000007,-0.000075,-0.001021,-0.007534
0.030000,-0.000014,-0.000106,-0.001697,-0.007518
0.035000,-0.000025,-0.000151,-0.002553,-0.007599
0.040000,-0.000041,-0.000157,-0.003552,-0.006774
0.045000,-0.000062,-0.000197,-0.004673,-0.008156
0.050000,-0.000089,-0.000204,-0.005846,-0.005510
0.055000,-0.000121,-0.000245,-0.007009,-0.010211
0.060000,-0.000160,-0.000487,-0.008124,-0.019332
0.065000,-0.000204,-0.000602,-0.009161,-0.023042
0.070000,-0.000252,-0.000606,-0.010070,-0.020268
0.075000,-0.000305,-0.000723,-0.010819,-0.019224
0.080000,-0.000361,-0.000445,-0.011409,-0.007647
0.085000,-0.000419,-0.000492,-0.011822,-0.008865
0.090000,-0.000479,-0.000170,-0.012049,0.000415
0.095000,-0.000540,-0.000171,-0.012135,-0.002496
0.100000,-0.000600,0.000001,-0.012144,0.001122
0.105000,-0.000661,0.002906,-0.012137,0.101428
0.110000,-0.000722,0.003321,-0.012172,0.098011
0.115000,-0.000783,0.003900,-0.012311,0.096075
0.120000,-0.000845,0.004282,-0.012602,0.094610
0.125000,-0.000910,0.004854,-0.013094,0.096339
0.130000,-0.000977,0.005255,-0.013819,0.097015
0.135000,-0.001049,0.005839,-0.014817,0.097215
0.140000,-0.001127,0.006231,-0.016085,0.095016
0.145000,-0.001212,0.006796,-0.017625,0.091597
0.150000,-0.001305,0.007072,-0.019418,0.087016
0.155000,-0.001409,0.007586,-0.021490,0.081301
0.160000,-0.001523,0.007589,-0.023851,0.068964
0.165000,-0.001650,0.008000,-0.026476,0.065468
0.170000,-0.001791,0.008240,-0.029317,0.059187
0.175000,-0.001946,0.008583,-0.032381,0.054199
0.180000,-0.002118,0.008894,-0.035684,0.053911
0.185000,-0.002307,0.009215,-0.039082,0.050813
0.190000,-0.002512,0.009679,-0.042498,0.050716
0.195000,-0.002735,0.009973,-0.046008,0.045949
0.200000,-0.002976,0.010280,-0.049621,0.045836
0.205000,-0.003235,-0.000384,-0.053202,-0.002759
0.210000,-0.003512,-0.000409,-0.056714,-0.007958
0.215000,-0.003806,-0.000467,-0.060208,-0.011347
0.220000,-0.004117,-0.000516,-0.063709,-0.013120
0.225000,-0.004446,-0.000607,-0.067141,-0.018226
0.230000,-0.004792,-0.000690,-0.070296,-0.024635
0.235000,-0.005152,-0.000838,-0.073239,-0.025894
0.240000,-0.005526,-0.000911,-0.075931,-0.027200
0.245000,-0.005914,-0.001074,-0.078420,-0.028335
0.250000,-0.006313,-0.001358,-0.080706,-0.038922
0.255000,-0.006723,-0.001602,-0.082913,-0.042863
0.260000,-0.007144,-0.002013,-0.084999,-0.053097
0.265000,-0.007574,-0.002339,-0.086917,-0.058422
0.270000,-0.008014,-0.002514,-0.088591,-0.057360
0.275000,-0.008461,-0.002868,-0.090005,-0.062184
0.280000,-0.008915,-0.003107,-0.091132,-0.065716
0.285000,-0.009373,-0.003510,-0.091973,-0.069115
0.290000,-0.009835,-0.003817,-0.092534,-0.073287
0.295000,-0.010299,-0.004261,-0.092818,-0.073930
0.300000,-0.010763,-0.004656,-0.092821,-0.075401
0.305000,-0.011226,-0.014152,-0.092575,-0.091119
0.310000,-0.011688,-0.014598,-0.092110,-0.088940
0.314999,-0.012146,-0.015125,-0.091449,-0.089396
0.319999,-0.012601,-0.015517,-0.090583,-0.087104
0.324999,-0.013051,-0.016040,-0.089535,-0.085065
0.329999,-0.013495,-0.016357,-0.088313,-0.089853
0.334999,-0.013933,-0.016887,-0.086918,-0.086590
0.339999,-0.014363,-0.017297,-0.085368,-0.097594
0.344999,-0.014784,-0.017881,-0.083613,-0.097580
0.349999,-0.015197,-0.018320,-0.081671,-0.100877
0.354999,-0.015599,-0.018923,-0.079586,-0.099175
0.359999,-0.015990,-0.019364,-0.077305,-0.101582
0.364999,-0.016369,-0.019974,-0.074818,-0.104809
0.369999,-0.016735,-0.020270,-0.072067,-0.102173
0.374999,-0.017086,-0.020877,-0.068994,-0.098876
0.379999,-0.017421,-0.021263,-0.065631,-0.096568
0.384999,-0.017739,-0.021835,-0.061977,-0.092473
0.389999,-0.018037,-0.022253,-0.058161,-0.092232
0.394998,-0.018316,-0.022809,-0.054183,-0.092287
0.399998,-0.018575,-0.022904,-0.050103,-0.081549
0.404998,-0.018812,-0.014807,-0.045809,-0.004824
0.409998,-0.019028,-0.014874,-0.041295,-0.000996
0.414998,-0.019220,-0.014877,-0.036620,0.001487
0.419998,-0.019390,-0.014936,-0.031988,0.006865
0.424998,-0.019536,-0.014888,-0.027452,0.011392
0.429998,-0.019660,-0.014824,-0.023151,0.012821
0.434998,-0.019764,-0.014748,-0.019052,0.012888
0.439998,-0.019847,-0.014693,-0.015173,0.011282
0.444998,-0.019912,-0.014613,-0.011569,0.016236
0.449998,-0.019960,-0.014648,-0.008199,0.006808
