time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000008,0.300030
0.010000,0.000038,0.300057
0.015000,0.000097,0.300105
0.020000,0.000141,0.300143
0.025000,0.000218,0.300210
0.030000,0.000292,0.300260
0.035000,0.000385,0.300344
0.040000,0.000432,0.300407
0.045000,0.000489,0.300509
0.050000,0.000531,0.300583
0.055000,0.000567,0.300704
0.060000,0.000680,0.300790
0.065000,0.000772,0.300928
0.070000,0.000777,0.301027
0.075000,0.000863,0.301183
0.080000,0.000808,0.301293
0.085000,0.000900,0.301468
0.090000,0.001031,0.301590
0.095000,0.001238,0.301782
0.100000,0.001451,0.301916
0.105000,0.012733,0.301283
0.110000,0.013082,0.301364
0.115000,0.013621,0.301490
0.120000,0.014005,0.301577
0.125000,0.014588,0.301712
0.130000,0.014990,0.301805
0.135000,0.015589,0.301949
0.140000,0.015996,0.302048
0.145000,0.016614,0.302201
0.150000,0.016992,0.302306
0.155000,0.017633,0.302468
0.160000,0.017900,0.302579
0.165000,0.018539,0.302750
0.170000,0.018968,0.302867
0.175000,0.019622,0.303047
0.180000,0.020135,0.303169
0.185000,0.020845,0.303358
0.190000,0.021453,0.303487
0.195000,0.022139,0.303684
0.200000,0.022661,0.303819
0.205000,0.012986,0.302969
0.210000,0.013284,0.303068
0.215000,0.013771,0.303219
0.220000,0.014122,0.303322
0.225000,0.014695,0.303479
0.230000,0.015089,0.303585
0.235000,0.015686,0.303749
0.240000,0.016111,0.303859
0.245000,0.016741,0.304028
0.250000,0.017131,0.304143
0.255000,0.017793,0.304318
0.260000,0.018170,0.304437
0.265000,0.018788,0.304618
0.270000,0.019218,0.304740
0.275000,0.019865,0.304927
0.280000,0.020318,0.305054
0.285000,0.020982,0.305247
0.290000,0.021413,0.305377
0.295000,0.022071,0.305576
0.300000,0.022467,0.305711
0.305000,0.032949,0.304754
0.310000,0.033457,0.304861
0.314999,0.034187,0.305024
0.319999,0.034692,0.305135
0.324999,0.035452,0.305302
0.329999,0.035947,0.305415
0.334999,0.036682,0.305587
0.339999,0.037174,0.305704
0.344999,0.037903,0.305880
0.349999,0.038396,0.305999
0.354999,0.039129,0.306180
0.359999,0.039611,0.306302
0.364999,0.040324,0.306488
0.369999,0.040761,0.306613
0.374999,0.041402,0.306803
0.379999,0.041831,0.306931
0.384999,0.042475,0.307126
0.389999,0.042929,0.307257
0.394998,0.043581,0.307456
0.399998,0.043965,0.307590
0.404998,0.044094,0.306572
0.409998,0.044526,0.306684
0.414998,0.045153,0.306854
0.419998,0.045565,0.306968
0.424998,0.046152,0.307142
0.429998,0.046538,0.307258
0.434998,0.047140,0.307435
0.439998,0.047547,0.307554
0.444998,0.048174,0.307735
0.449998,0.048581,0.307856
0.454998,0.049223,0.308041
0.459998,0.049677,0.308165
0.464998,0.050373,0.308352
0.469997,0.050878,0.308479
0.474997,0.051618,0.308670
0.479997,0.052151,0.308799
0.484997,0.052889,0.308994
0.489997,0.053350,0.309126
0.494997,0.054079,0.309325
0.499997,0.054583,0.309458
0.504997,0.034301,0.308402
0.509997,0.034495,0.308516
0.514997,0.034821,0.308690
0.519997,0.035013,0.308807
0.524997,0.035310,0.308983
0.529997,0.035514,0.309102
0.534997,0.035843,0.309282
0.539997,0.036062,0.309403
0.544997,0.036378,0.309586
0.549996,0.036594,0.309709
0.554996,0.036955,0.309895
0.559996,0.037255,0.310020
0.564996,0.037710,0.310209
0.569996,0.037931,0.310336
0.574996,0.038372,0.310528
0.579996,0.038649,0.310657
0.584996,0.039064,0.310852
0.589996,0.039276,0.310984
0.594996,0.039704,0.311182
0.599996,0.039871,0.311315
0.604996,0.075142,0.310232
0.609996,0.075655,0.310349
0.614996,0.076382,0.310525
0.619996,0.076859,0.310643
0.624996,0.077578,0.310822
0.629995,0.078089,0.310942
0.634995,0.078814,0.311123
0.639995,0.079309,0.311245
0.644995,0.080054,0.311430
0.649995,0.080558,0.311553
0.654995,0.081296,0.311740
0.659995,0.081786,0.311866
0.664995,0.082558,0.312055
0.669995,0.083023,0.312183
0.674995,0.083763,0.312375
0.679995,0.084130,0.312504
0.684995,0.084892,0.312699
0.689995,0.085522,0.312830
0.694995,0.086306,0.313028
0.699995,0.086640,0.313161
0.704994,0.075230,0.312060
0.709994,0.075609,0.312177
0.714994,0.076262,0.312355
0.719994,0.076727,0.312474
0.724994,0.077391,0.312654
0.729994,0.077825,0.312775
0.734994,0.078442,0.312958
0.739994,0.078844,0.313080
0.744994,0.079483,0.313265
0.749994,0.079904,0.313389
0.754994,0.080545,0.313576
0.759994,0.080967,0.313702
0.764994,0.081584,0.313892
0.769994,0.082022,0.314020
0.774994,0.082663,0.314212
0.779994,0.083092,0.314341
0.784993,0.083694,0.314536
0.789993,0.084052,0.314666
0.794993,0.084653,0.314864
0.799993,0.084993,0.314996
0.804993,0.064078,0.313881
0.809993,0.064215,0.314000
0.814993,0.064766,0.314178
0.819993,0.064898,0.314298
0.824993,0.065471,0.314479
0.829993,0.065881,0.314600
0.834993,0.066406,0.314783
0.839993,0.066748,0.314906
0.844993,0.067285,0.315091
0.849993,0.067645,0.315216
0.854993,0.068177,0.315403
0.859993,0.068490,0.315529
0.864992,0.069014,0.315719
0.869992,0.069320,0.315846
0.874992,0.069839,0.316038
0.879992,0.070213,0.316167
0.884992,0.070729,0.316361
0.889992,0.071022,0.316492
0.894992,0.071514,0.316688
0.899992,0.071983,0.316820
0.904992,0.067312,0.315696
0.909992,0.067712,0.315815
0.914992,0.068171,0.315994
0.919992,0.068473,0.316114
0.924992,0.068967,0.316295
0.929992,0.069320,0.316417
0.934992,0.069814,0.316600
0.939991,0.070120,0.316723
0.944991,0.070616,0.316908
0.949991,0.070938,0.317033
0.954991,0.071392,0.317220
0.959991,0.071638,0.317346
0.964991,0.072089,0.317535
0.969991,0.072380,0.317662
0.974991,0.072830,0.317854
0.979991,0.073150,0.317983
0.984991,0.073598,0.318176
0.989991,0.073788,0.318306
0.994991,0.074189,0.318502
0.999991,0.074665,0.318634
1.004991,0.084381,0.317503
1.009991,0.084762,0.317622
1.014991,0.085301,0.317801
1.019992,0.085585,0.317922
1.024992,0.086101,0.318103
1.029992,0.086432,0.318224
1.034992,0.086955,0.318408
1.039993,0.087295,0.318530
1.044993,0.087848,0.318716
1.049993,0.088211,0.318840
1.054993,0.088745,0.319027
1.059994,0.089115,0.319153
1.064994,0.089656,0.319342
1.069994,0.089970,0.319469
1.074994,0.090533,0.319660
1.079994,0.090947,0.319788
1.084995,0.091531,0.319981
1.089995,0.091852,0.320111
1.094995,0.092405,0.320306
1.099995,0.092722,0.320437
1.104996,0.095180,0.319302
