time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,0.000001,-0.000006,0.000757
0.010000,-0.000000,0.000015,-0.000064,0.001910
0.015000,-0.000001,0.000024,-0.000225,0.002612
0.020000,-0.000003,-0.000030,-0.000533,-0.007741
0.025000,-0.000007,-0.000075,-0.001021,-0.007527
0.030000,-0.000014,-0.000106,-0.001698,-0.007511
0.035000,-0.000025,-0.000150,-0.002554,-0.007592
0.040000,-0.000041,-0.000157,-0.003554,-0.006767
0.045000,-0.000062,-0.000197,-0.004675,-0.008149
0.050000,-0.000089,-0.000204,-0.005849,-0.005502
0.055000,-0.000121,-0.000245,-0.007013,-0.010204
0.060000,-0.000160,-0.000487,-0.008129,-0.019330
0.065000,-0.000204,-0.000602,-0.009166,-0.023041
0.070000,-0.000252,-0.000605,-0.010077,-0.020266
0.075000,-0.000305,-0.000723,-0.010826,-0.019223
0.080000,-0.000361,-0.000444,-0.011416,-0.007643
0.085000,-0.000419,-0.000492,-0.011830,-0.008861
0.090000,-0.000479,-0.000168,-0.012058,0.000420
0.095000,-0.000540,-0.000169,-0.012144,-0.002490
0.100000,-0.000601,0.000003,-0.012153,0.001128
0.105000,-0.000661,0.000004,-0.012146,-0.000871
0.110000,-0.000722,-0.000207,-0.012167,-0.006467
0.115000,-0.000783,-0.000255,-0.012246,-0.008378
0.120000,-0.000845,-0.000280,-0.012391,-0.009518
0.125000,-0.000907,-0.000332,-0.012593,-0.007479
0.130000,-0.000971,-0.000243,-0.012837,-0.005396
0.135000,-0.001036,-0.000272,-0.013108,-0.004409
0.140000,-0.001102,-0.000243,-0.013384,-0.005403
0.145000,-0.001170,-0.000278,-0.013656,-0.007408
0.150000,-0.001239,-0.000632,-0.013915,-0.012778
0.155000,-0.001310,-0.000713,-0.014163,-0.016496
0.160000,-0.001381,-0.001787,-0.014399,-0.032591
0.165000,-0.001454,-0.001981,-0.014619,-0.033507
0.170000,-0.001527,-0.002148,-0.014819,-0.038064
0.175000,-0.001602,-0.002382,-0.014994,-0.040077
0.180000,-0.001678,-0.002280,-0.015143,-0.036800
0.185000,-0.001754,-0.002495,-0.015258,-0.035337
0.190000,-0.001830,-0.002007,-0.015337,-0.029940
0.195000,-0.001907,-0.002188,-0.015379,-0.030124
0.200000,-0.001984,-0.002018,-0.015376,-0.026240
0.205000,-0.002061,-0.002177,-0.015336,-0.028222
0.210000,-0.002137,-0.002172,-0.015270,-0.029830
0.215000,-0.002213,-0.002349,-0.015181,-0.027950
0.220000,-0.002289,-0.002213,-0.015063,-0.024560
0.225000,-0.002364,-0.002363,-0.014913,-0.024962
0.230000,-0.002438,-0.002586,-0.014736,-0.029338
0.235000,-0.002511,-0.002754,-0.014536,-0.026282
0.240000,-0.002583,-0.002439,-0.014335,-0.022566
0.245000,-0.002654,-0.002567,-0.014152,-0.020066
0.250000,-0.002724,-0.004002,-0.014003,-0.035521
0.255000,-0.002794,-0.004220,-0.013886,-0.036324
0.260000,-0.002863,-0.005791,-0.013786,-0.051672
0.265000,-0.002932,-0.006104,-0.013675,-0.054489
0.270000,-0.003000,-0.006045,-0.013522,-0.050572
0.275000,-0.003067,-0.006354,-0.013293,-0.052969
0.280000,-0.003132,-0.006525,-0.012959,-0.055231
0.285000,-0.003196,-0.006863,-0.012487,-0.056968
0.290000,-0.003256,-0.007191,-0.011843,-0.060419
0.295000,-0.003313,-0.007555,-0.010992,-0.059742
0.300000,-0.003365,-0.008106,-0.009956,-0.061339
0.305000,-0.003411,-0.008470,-0.008773,-0.059101
0.310000,-0.003451,-0.008185,-0.007454,-0.053183
0.314999,-0.003484,-0.008496,-0.006044,-0.052657
0.319999,-0.003510,-0.008320,-0.004541,-0.047821
0.324999,-0.003528,-0.008607,-0.002988,-0.045053
0.329999,-0.003538,-0.009636,-0.001415,-0.053398
0.334999,-0.003540,-0.009947,0.000166,-0.049748
0.339999,-0.003535,-0.012324,0.001729,-0.069227
0.344999,-0.003522,-0.012738,0.003307,-0.069192
0.349999,-0.003500,-0.013551,0.004872,-0.074580
0.354999,-0.003471,-0.013997,0.006408,-0.073194
0.359999,-0.003435,-0.014599,0.007969,-0.076929
0.364999,-0.003390,-0.015063,0.009584,-0.080816
0.369999,-0.003337,-0.014793,0.011309,-0.077113
0.374999,-0.003275,-0.015254,0.013192,-0.075226
0.379999,-0.003203,-0.015528,0.015239,-0.073870
0.384999,-0.003120,-0.015967,0.017467,-0.071524
0.389999,-0.003026,-0.016419,0.019827,-0.072797
0.394998,-0.002919,-0.016860,0.022331,-0.074073
0.399998,-0.002800,-0.016422,0.024952,-0.063394
0.404998,-0.002667,-0.016798,0.027726,-0.059454
0.409998,-0.002519,-0.016713,0.030650,-0.054691
0.414998,-0.002357,-0.017042,0.033742,-0.054076
0.419998,-0.002179,-0.016635,0.036879,-0.046575
0.424998,-0.001985,-0.016911,0.040049,-0.043535
0.429998,-0.001775,-0.017280,0.043182,-0.043824
0.434998,-0.001550,-0.017546,0.046329,-0.045067
0.439998,-0.001309,-0.018420,0.049493,-0.049511
0.444998,-0.001052,-0.018706,0.052648,-0.045297
0.449998,-0.000779,-0.020707,0.055826,-0.060459
0.454998,-0.000490,-0.021059,0.058995,-0.053657
0.459998,-0.000186,-0.021243,0.062151,-0.049539
0.464998,0.000135,-0.021530,0.065372,-0.043761
0.469997,0.000471,-0.019670,0.068744,-0.021322
0.474997,0.000826,-0.019800,0.072186,-0.018049
0.479997,0.001197,-0.018818,0.075573,-0.003625
0.484997,0.001585,-0.018842,0.078985,-0.001383
0.489997,0.001990,-0.019485,0.082435,-0.003140
0.494997,0.002412,-0.019508,0.085812,-0.002729
0.499997,0.002851,-0.019071,0.089141,0.000998
0.504997,0.003307,-0.019061,0.092473,0.002795
0.509997,0.003779,-0.018624,0.095710,0.008198
0.514997,0.004267,-0.018568,0.098816,0.011393
0.519997,0.004770,-0.018291,0.101863,0.015064
0.524997,0.005288,-0.018196,0.104718,0.016149
0.529997,0.005820,-0.018174,0.107361,0.018399
0.534997,0.006364,-0.018058,0.109746,0.019896
0.539997,0.006919,-0.018189,0.111902,0.019656
0.544997,0.007485,-0.018071,0.113847,0.018618
0.549996,0.008059,-0.017268,0.115643,0.026858
0.554996,0.008642,-0.017112,0.117237,0.025240
0.559996,0.009233,-0.015771,0.118600,0.035915
0.564996,0.009829,-0.015550,0.119755,0.036633
0.569996,0.010431,-0.017100,0.120720,0.021886
0.574996,0.011037,-0.016972,0.121529,0.019856
0.579996,0.011647,-0.016918,0.122225,0.019816
0.584996,0.012260,-0.016794,0.122798,0.022875
0.589996,0.012875,-0.017769,0.123287,0.015207
0.594996,0.013493,-0.017682,0.123713,0.013078
0.599996,0.014113,-0.018669,0.124095,0.002367
0.604996,0.014734,-0.018657,0.124441,0.001594
0.609996,0.015357,-0.019127,0.124764,-0.003748
0.614996,0.015982,-0.019150,0.125088,-0.005144
0.619996,0.016609,-0.018857,0.125428,-0.001936
0.624996,0.017237,-0.018873,0.125795,-0.003819
0.629995,0.017867,-0.020080,0.126189,-0.013821
0.634995,0.018499,-0.020161,0.126639,-0.012611
0.639995,0.019134,-0.022293,0.127153,-0.030040
0.644995,0.019772,-0.022478,0.127732,-0.030443
0.649995,0.020412,-0.021411,0.128395,-0.021579
0.654995,0.021056,-0.021532,0.129181,-0.019299
0.659995,0.021705,-0.021506,0.130078,-0.016515
0.664995,0.022358,-0.021609,0.131082,-0.016689
0.669995,0.023017,-0.022605,0.132243,-0.024415
0.674995,0.023682,-0.022752,0.133527,-0.025603
0.679995,0.024354,-0.025712,0.134924,-0.048000
0.684995,0.025033,-0.026000,0.136420,-0.048386
0.689995,0.025720,-0.024055,0.138046,-0.028542
0.694995,0.026415,-0.024223,0.139811,-0.025493
0.699995,0.027120,-0.027130,0.141657,-0.049084
0.704994,0.027834,-0.027416,0.143620,-0.046610
0.709994,0.028558,-0.026403,0.145665,-0.033665
0.714994,0.029293,-0.026610,0.147885,-0.033265
0.719994,0.030040,-0.027417,0.150309,-0.038509
0.724994,0.030799,-0.027644,0.152791,-0.036383
0.729994,0.031570,-0.028679,0.155333,-0.042706
0.734994,0.032355,-0.028936,0.157902,-0.042235
0.739994,0.033152,-0.028057,0.160515,-0.030564
0.744994,0.033963,-0.028237,0.163214,-0.028027
0.749994,0.034787,-0.028498,0.165986,-0.026941
0.754994,0.035625,-0.028658,0.168829,-0.026764
0.759994,0.036478,-0.028512,0.171795,-0.025548
0.764994,0.037347,-0.028665,0.174850,-0.022795
0.769994,0.038230,-0.027738,0.177861,-0.009046
0.774994,0.039129,-0.027792,0.180978,-0.005984
0.779994,0.040043,-0.027407,0.184087,-0.000832
0.784993,0.040972,-0.027405,0.187185,0.005529
0.789993,0.041918,-0.028429,0.190294,-0.001303
0.794993,0.042878,-0.028435,0.193263,-0.001009
0.799993,0.043853,-0.029735,0.196143,-0.010361
0.804993,0.044842,-0.029799,0.198950,-0.009206
0.809993,0.045845,-0.027120,0.201639,0.015391
0.814993,0.046861,-0.027024,0.204288,0.017187
0.819993,0.047890,-0.022846,0.206786,0.053082
0.824993,0.048932,-0.022530,0.209188,0.051170
0.829993,0.049985,-0.023903,0.211542,0.039618
0.834993,0.051049,-0.023659,0.213799,0.044160
0.839993,0.052124,-0.022414,0.215884,0.054974
0.844993,0.053210,-0.022082,0.217810,0.056400
0.849993,0.054304,-0.021232,0.219571,0.062644
0.854993,0.055407,-0.020851,0.221125,0.065052
0.859993,0.056516,-0.021769,0.222476,0.058020
0.864992,0.057632,-0.021409,0.223659,0.062158
0.869992,0.058754,-0.021933,0.224639,0.055400
0.874992,0.059879,-0.021601,0.225428,0.054657
0.879992,0.061008,-0.021000,0.226065,0.057819
0.884992,0.062140,-0.020659,0.226568,0.054423
0.889992,0.063274,-0.020918,0.226945,0.051806
0.894992,0.064410,-0.020612,0.227199,0.048708
0.899992,0.065546,-0.019145,0.227317,0.058084
0.904992,0.066683,-0.018796,0.227302,0.057340
0.909992,0.067819,-0.019630,0.227159,0.048748
0.914992,0.068954,-0.019343,0.226897,0.046683
0.919992,0.070087,-0.018932,0.226521,0.048575
0.924992,0.071219,-0.018646,0.226068,0.047970
0.929992,0.072348,-0.018854,0.225542,0.044165
0.934992,0.073474,-0.018586,0.224960,0.042984
0.939991,0.074597,-0.016411,0.224346,0.055386
0.944991,0.075716,-0.016078,0.223700,0.054287
0.949991,0.076833,-0.016104,0.223012,0.052327
0.954991,0.077946,-0.015796,0.222272,0.051529
0.959991,0.079055,-0.017792,0.221496,0.033683
0.964991,0.080160,-0.017589,0.220689,0.033774
0.969991,0.081261,-0.017408,0.219892,0.032445
0.974991,0.082358,-0.017221,0.219104,0.028311
0.979991,0.083451,-0.016656,0.218315,0.029712
0.984991,0.084540,-0.016478,0.217499,0.028528
0.989991,0.085625,-0.017455,0.216668,0.015867
0.994991,0.086706,-0.017361,0.215798,0.014602
0.999991,0.087782,-0.015543,0.214898,0.026706
1.004991,0.088854,-0.015383,0.213973,0.025001
1.009991,0.089921,-0.015676,0.213046,0.019625
1.014991,0.090983,-0.015566,0.212061,0.016141
1.019992,0.092041,-0.013981,0.211126,0.025393
1.024992,0.093094,-0.013833,0.210252,0.024361
1.029992,0.094143,-0.013330,0.209435,0.026261
1.034992,0.095187,-0.013177,0.208674,0.023673
1.039993,0.096229,-0.011324,0.207961,0.035481
1.044993,0.097266,-0.011105,0.207283,0.037529
1.049993,0.098301,-0.011524,0.206636,0.034112
1.054993,0.099332,-0.011319,0.205987,0.031822
1.059994,0.100360,-0.010908,0.205314,0.032423
1.064994,0.101385,-0.010712,0.204602,0.031475
