time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.089536,0.318993
1.064994,0.090077,0.319182
1.069994,0.090392,0.319309
1.074994,0.090955,0.319501
1.079994,0.091369,0.319629
1.084995,0.091953,0.319822
1.089995,0.092275,0.319951
1.094995,0.092828,0.320147
1.099995,0.093145,0.320278
1.104996,0.095709,0.319125
1.109996,0.095823,0.319244
1.114996,0.096184,0.319424
1.119996,0.096462,0.319544
1.124997,0.096869,0.319725
1.129997,0.097138,0.319846
1.134997,0.097581,0.320029
1.139997,0.097884,0.320152
1.144997,0.098295,0.320337
1.149998,0.098567,0.320461
1.154998,0.098940,0.320648
1.159998,0.099145,0.320773
1.164998,0.099482,0.320962
1.169999,0.099681,0.321088
1.174999,0.100034,0.321279
1.179999,0.100240,0.321407
1.184999,0.100561,0.321599
1.190000,0.100596,0.321729
1.195000,0.100914,0.321923
1.200000,0.101106,0.322054
1.205000,0.099582,0.320898
1.210001,0.100071,0.321017
1.215001,0.100484,0.321196
1.220001,0.100760,0.321316
1.225001,0.101175,0.321497
1.230001,0.101500,0.321618
1.235002,0.101858,0.321801
1.240002,0.102067,0.321923
1.245002,0.102491,0.322108
1.250002,0.102782,0.322232
1.255003,0.103256,0.322418
1.260003,0.103623,0.322543
1.265003,0.104104,0.322731
1.270003,0.104293,0.322857
1.275004,0.104752,0.323047
1.280004,0.104981,0.323175
1.285004,0.105409,0.323367
1.290004,0.105626,0.323495
1.295004,0.106032,0.323689
1.300005,0.106246,0.323819
1.305005,0.093208,0.322661
1.310005,0.093094,0.322780
1.315005,0.093184,0.322959
1.320006,0.093294,0.323079
1.325006,0.093339,0.323259
1.330006,0.093417,0.323380
1.335006,0.093399,0.323563
1.340007,0.093403,0.323685
1.345007,0.093330,0.323869
1.350007,0.093286,0.323992
1.355007,0.093219,0.324178
1.360008,0.093224,0.324303
1.365008,0.093165,0.324491
1.370008,0.093187,0.324616
1.375008,0.093101,0.324806
1.380008,0.093086,0.324933
1.385009,0.093000,0.325124
1.390009,0.093241,0.325252
1.395009,0.093207,0.325445
1.400009,0.093332,0.325575
1.405010,0.079688,0.324416
1.410010,0.079537,0.324534
1.415010,0.079513,0.324713
1.420010,0.079596,0.324832
1.425011,0.079560,0.325013
1.430011,0.079400,0.325133
1.435011,0.079375,0.325315
1.440011,0.079341,0.325437
1.445011,0.079321,0.325621
1.450012,0.079297,0.325744
1.455012,0.079256,0.325929
1.460012,0.079226,0.326053
1.465012,0.079175,0.326240
1.470013,0.078997,0.326365
1.475013,0.078886,0.326554
1.480013,0.078715,0.326681
1.485013,0.078580,0.326871
1.490014,0.078569,0.326999
1.495014,0.078432,0.327191
1.500014,0.078402,0.327320
1.505014,0.086194,0.326161
1.510015,0.086291,0.326279
1.515015,0.086434,0.326457
1.520015,0.086639,0.326577
1.525015,0.086734,0.326756
1.530015,0.086736,0.326877
1.535016,0.086829,0.327058
1.540016,0.086894,0.327180
1.545016,0.087025,0.327363
1.550016,0.087113,0.327485
1.555017,0.087233,0.327670
1.560017,0.087181,0.327794
1.565017,0.087222,0.327980
1.570017,0.087353,0.328105
1.575018,0.087408,0.328293
1.580018,0.087314,0.328419
1.585018,0.087325,0.328609
1.590018,0.087254,0.328736
1.595019,0.087249,0.328927
1.600019,0.087422,0.329056
1.605019,0.132623,0.327897
1.610019,0.132959,0.328015
1.615019,0.133493,0.328193
1.620020,0.133852,0.328312
1.625020,0.134393,0.328491
1.630020,0.134766,0.328611
1.635020,0.135307,0.328792
1.640021,0.135650,0.328913
1.645021,0.136127,0.329095
1.650021,0.136433,0.329217
1.655021,0.136905,0.329401
1.660022,0.137128,0.329525
1.665022,0.137520,0.329710
1.670022,0.137757,0.329835
1.675022,0.138123,0.330022
1.680022,0.138453,0.330148
1.685023,0.138803,0.330337
1.690023,0.138944,0.330463
1.695023,0.139242,0.330654
1.700023,0.139428,0.330782
1.705024,0.118580,0.329625
1.710024,0.118811,0.329742
1.715024,0.119142,0.329919
1.720024,0.119389,0.330037
1.725025,0.119729,0.330216
1.730025,0.119999,0.330336
1.735025,0.120335,0.330516
1.740025,0.120558,0.330636
1.745026,0.120879,0.330818
1.750026,0.121071,0.330940
1.755026,0.121351,0.331123
1.760026,0.121527,0.331246
1.765026,0.121808,0.331431
1.770027,0.122021,0.331555
1.775027,0.122320,0.331742
1.780027,0.122520,0.331867
1.785027,0.122809,0.332055
1.790028,0.123100,0.332181
1.795028,0.123393,0.332371
1.800028,0.123492,0.332499
1.805028,0.130015,0.331343
1.810029,0.130122,0.331460
1.815029,0.130476,0.331636
1.820029,0.130666,0.331754
1.825029,0.130964,0.331932
1.830029,0.131127,0.332051
1.835030,0.131386,0.332231
1.840030,0.131561,0.332351
1.845030,0.131811,0.332532
1.850030,0.131962,0.332653
1.855031,0.132215,0.332836
1.860031,0.132434,0.332958
1.865031,0.132751,0.333143
1.870031,0.132914,0.333266
1.875032,0.133201,0.333452
1.880032,0.133251,0.333577
1.885032,0.133505,0.333764
1.890032,0.133535,0.333890
1.895033,0.133816,0.334079
1.900033,0.133922,0.334206
1.905033,0.117875,0.333052
1.910033,0.117606,0.333168
1.915033,0.117635,0.333344
1.920034,0.117667,0.333462
1.925034,0.117710,0.333639
1.930034,0.117716,0.333758
1.935034,0.117738,0.333937
