time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.097649,0.414881
0.929992,0.098756,0.415739
0.934992,0.099888,0.417030
0.939991,0.098796,0.417893
0.944991,0.099863,0.419191
0.949991,0.100804,0.420059
0.954991,0.101905,0.421365
0.959991,0.104666,0.422238
0.964991,0.105847,0.423551
0.969991,0.106595,0.424428
0.974991,0.107781,0.425749
0.979991,0.108165,0.426631
0.984991,0.109349,0.427959
0.989991,0.111150,0.428846
0.994991,0.112409,0.430181
0.999991,0.111617,0.431073
1.004991,0.112801,0.432415
1.009991,0.113952,0.433312
1.014991,0.115162,0.434660
1.019992,0.114567,0.435561
1.024992,0.115738,0.436917
1.029992,0.116144,0.437823
1.034992,0.117306,0.439185
1.039993,0.116456,0.440095
1.044993,0.117542,0.441464
1.049993,0.118787,0.442378
1.054993,0.119885,0.443754
1.059994,0.120359,0.444673
1.064994,0.121455,0.446054
1.069994,0.123278,0.446978
1.074994,0.124410,0.448366
1.079994,0.124810,0.449293
1.084995,0.125933,0.450687
1.089995,0.127532,0.451619
1.094995,0.128714,0.453020
1.099995,0.129915,0.453955
1.104996,0.131153,0.455362
1.109996,0.130302,0.456302
1.114996,0.131466,0.457715
1.119996,0.132690,0.458658
1.124997,0.133858,0.460077
1.129997,0.134425,0.461025
1.134997,0.135580,0.462449
1.139997,0.137568,0.463401
1.144997,0.138793,0.464831
1.149998,0.140662,0.465787
1.154998,0.141979,0.467223
1.159998,0.143867,0.468182
1.164998,0.145248,0.469624
1.169999,0.146791,0.470587
1.174999,0.148200,0.472034
1.179999,0.149642,0.473001
1.184999,0.151080,0.474454
1.190000,0.154273,0.475424
1.195000,0.155818,0.476882
1.200000,0.157140,0.477856
1.205000,0.158703,0.479320
1.210001,0.161310,0.480297
1.215001,0.162959,0.481766
1.220001,0.163977,0.482747
1.225001,0.165638,0.484222
1.230001,0.168001,0.485206
1.235002,0.169742,0.486685
1.240002,0.168963,0.487673
1.245002,0.170599,0.489158
1.250002,0.171147,0.490149
1.255003,0.172742,0.491638
1.260003,0.172588,0.492633
1.265003,0.174148,0.494127
1.270003,0.176893,0.495125
1.275004,0.178532,0.496625
1.280004,0.180305,0.497626
1.285004,0.181986,0.499130
1.290004,0.183420,0.500134
1.295004,0.185141,0.501643
1.300005,0.186505,0.502651
1.305005,0.188277,0.504164
1.310005,0.188033,0.505175
1.315005,0.189758,0.506693
1.320006,0.191627,0.507707
1.325006,0.193411,0.509230
1.330006,0.195826,0.510247
1.335006,0.197715,0.511774
1.340007,0.200430,0.512794
1.345007,0.202424,0.514326
1.350007,0.203489,0.515349
1.355007,0.205474,0.516885
1.360008,0.205974,0.517911
1.365008,0.207936,0.519452
1.370008,0.208198,0.520480
1.375008,0.210142,0.522025
1.380008,0.210866,0.523057
1.385009,0.212796,0.524606
1.390009,0.211927,0.525641
1.395009,0.213753,0.527194
1.400009,0.214077,0.528232
1.405010,0.215867,0.529789
1.410010,0.216089,0.530829
1.415010,0.217869,0.532391
1.420010,0.219974,0.533434
1.425011,0.221799,0.535000
1.430011,0.220774,0.536045
1.435011,0.222517,0.537615
1.440011,0.222852,0.538663
1.445011,0.224568,0.540237
1.450012,0.225817,0.541288
1.455012,0.227563,0.542866
1.460012,0.228806,0.543919
1.465012,0.230569,0.545501
1.470013,0.233317,0.546556
1.475013,0.235176,0.548142
1.480013,0.237098,0.549201
1.485013,0.239011,0.550790
1.490014,0.239753,0.551851
1.495014,0.241663,0.553444
1.500014,0.242526,0.554508
1.505014,0.244435,0.556105
1.510015,0.245582,0.557171
1.515015,0.247504,0.558771
1.520015,0.250347,0.559839
1.525015,0.252369,0.561444
1.530015,0.252618,0.562514
1.535016,0.254610,0.564122
1.540016,0.254852,0.565195
1.545016,0.256793,0.566807
1.550016,0.257900,0.567882
1.555017,0.259851,0.569497
1.560017,0.263938,0.570575
1.565017,0.266042,0.572193
1.570017,0.265985,0.573273
